Filter Strip %,Till/No Till,Tilling Date,Fertilizer Composition,Spring Fertilizer Amount (kg/ha),Spring Fertilizer Date,Summer Fertilizer Amount (kg/ha),Fertilizer Application Method,Cover Crop,scenario
3,Till,15-Apr,Dairy Manure,140,1-Feb,0,Aerial Solid,Winter Rye,1247
5,Till,15-Apr,Dairy Manure,140,1-Feb,0,Aerial Solid,Winter Rye,1248
0,Till,1-Apr,26:13:00,280,1-Feb,0,Aerial Solid,Winter Rye,1249
1,Till,1-Apr,26:13:00,280,1-Feb,0,Aerial Solid,Winter Rye,1250
3,Till,1-Apr,26:13:00,280,1-Feb,0,Aerial Solid,Winter Rye,1251
5,Till,1-Apr,26:13:00,280,1-Feb,0,Aerial Solid,Winter Rye,1252
0,Till,15-Apr,26:13:00,280,1-Feb,0,Aerial Solid,Winter Rye,1253
1,Till,15-Apr,26:13:00,280,1-Feb,0,Aerial Solid,Winter Rye,1254
3,Till,15-Apr,26:13:00,280,1-Feb,0,Aerial Solid,Winter Rye,1255
5,Till,15-Apr,26:13:00,280,1-Feb,0,Aerial Solid,Winter Rye,1256
0,Till,1-Apr,28:10:10,280,1-Feb,0,Aerial Solid,Winter Rye,1257
1,Till,1-Apr,28:10:10,280,1-Feb,0,Aerial Solid,Winter Rye,1258
3,Till,1-Apr,28:10:10,280,1-Feb,0,Aerial Solid,Winter Rye,1259
5,Till,1-Apr,28:10:10,280,1-Feb,0,Aerial Solid,Winter Rye,1260
0,Till,15-Apr,28:10:10,280,1-Feb,0,Aerial Solid,Winter Rye,1261
1,Till,15-Apr,28:10:10,280,1-Feb,0,Aerial Solid,Winter Rye,1262
3,Till,15-Apr,28:10:10,280,1-Feb,0,Aerial Solid,Winter Rye,1263
5,Till,15-Apr,28:10:10,280,1-Feb,0,Aerial Solid,Winter Rye,1264
0,Till,1-Apr,Dairy Manure,280,1-Feb,0,Aerial Solid,Winter Rye,1265
1,Till,1-Apr,Dairy Manure,280,1-Feb,0,Aerial Solid,Winter Rye,1266
3,Till,1-Apr,Dairy Manure,280,1-Feb,0,Aerial Solid,Winter Rye,1267
5,Till,1-Apr,Dairy Manure,280,1-Feb,0,Aerial Solid,Winter Rye,1268
0,Till,15-Apr,Dairy Manure,280,1-Feb,0,Aerial Solid,Winter Rye,1269
1,Till,15-Apr,Dairy Manure,280,1-Feb,0,Aerial Solid,Winter Rye,1270
3,Till,15-Apr,Dairy Manure,280,1-Feb,0,Aerial Solid,Winter Rye,1271
5,Till,15-Apr,Dairy Manure,280,1-Feb,0,Aerial Solid,Winter Rye,1272
0,Till,1-Apr,26:13:00,560,1-Feb,0,Aerial Solid,Winter Rye,1273
1,Till,1-Apr,26:13:00,560,1-Feb,0,Aerial Solid,Winter Rye,1274
3,Till,1-Apr,26:13:00,560,1-Feb,0,Aerial Solid,Winter Rye,1275
5,Till,1-Apr,26:13:00,560,1-Feb,0,Aerial Solid,Winter Rye,1276
0,Till,15-Apr,26:13:00,560,1-Feb,0,Aerial Solid,Winter Rye,1277
1,Till,15-Apr,26:13:00,560,1-Feb,0,Aerial Solid,Winter Rye,1278
3,Till,15-Apr,26:13:00,560,1-Feb,0,Aerial Solid,Winter Rye,1279
5,Till,15-Apr,26:13:00,560,1-Feb,0,Aerial Solid,Winter Rye,1280
0,Till,1-Apr,28:10:10,560,1-Feb,0,Aerial Solid,Winter Rye,1281
1,Till,1-Apr,28:10:10,560,1-Feb,0,Aerial Solid,Winter Rye,1282
3,Till,1-Apr,28:10:10,560,1-Feb,0,Aerial Solid,Winter Rye,1283
5,Till,1-Apr,28:10:10,560,1-Feb,0,Aerial Solid,Winter Rye,1284
0,Till,15-Apr,28:10:10,560,1-Feb,0,Aerial Solid,Winter Rye,1285
1,Till,15-Apr,28:10:10,560,1-Feb,0,Aerial Solid,Winter Rye,1286
3,Till,15-Apr,28:10:10,560,1-Feb,0,Aerial Solid,Winter Rye,1287
5,Till,15-Apr,28:10:10,560,1-Feb,0,Aerial Solid,Winter Rye,1288
0,Till,1-Apr,Dairy Manure,560,1-Feb,0,Aerial Solid,Winter Rye,1289
1,Till,1-Apr,Dairy Manure,560,1-Feb,0,Aerial Solid,Winter Rye,1290
3,Till,1-Apr,Dairy Manure,560,1-Feb,0,Aerial Solid,Winter Rye,1291
5,Till,1-Apr,Dairy Manure,560,1-Feb,0,Aerial Solid,Winter Rye,1292
0,Till,15-Apr,Dairy Manure,560,1-Feb,0,Aerial Solid,Winter Rye,1293
1,Till,15-Apr,Dairy Manure,560,1-Feb,0,Aerial Solid,Winter Rye,1294
3,Till,15-Apr,Dairy Manure,560,1-Feb,0,Aerial Solid,Winter Rye,1295
5,Till,15-Apr,Dairy Manure,560,1-Feb,0,Aerial Solid,Winter Rye,1296
0,Till,1-Apr,26:13:00,1120,1-Feb,0,Aerial Solid,Winter Rye,1297
1,Till,1-Apr,26:13:00,1120,1-Feb,0,Aerial Solid,Winter Rye,1298
3,Till,1-Apr,26:13:00,1120,1-Feb,0,Aerial Solid,Winter Rye,1299
5,Till,1-Apr,26:13:00,1120,1-Feb,0,Aerial Solid,Winter Rye,1300
0,Till,15-Apr,26:13:00,1120,1-Feb,0,Aerial Solid,Winter Rye,1301
1,Till,15-Apr,26:13:00,1120,1-Feb,0,Aerial Solid,Winter Rye,1302
3,Till,15-Apr,26:13:00,1120,1-Feb,0,Aerial Solid,Winter Rye,1303
5,Till,15-Apr,26:13:00,1120,1-Feb,0,Aerial Solid,Winter Rye,1304
0,Till,1-Apr,28:10:10,1120,1-Feb,0,Aerial Solid,Winter Rye,1305
1,Till,1-Apr,28:10:10,1120,1-Feb,0,Aerial Solid,Winter Rye,1306
3,Till,1-Apr,28:10:10,1120,1-Feb,0,Aerial Solid,Winter Rye,1307
5,Till,1-Apr,28:10:10,1120,1-Feb,0,Aerial Solid,Winter Rye,1308
0,Till,15-Apr,28:10:10,1120,1-Feb,0,Aerial Solid,Winter Rye,1309
1,Till,15-Apr,28:10:10,1120,1-Feb,0,Aerial Solid,Winter Rye,1310
3,Till,15-Apr,28:10:10,1120,1-Feb,0,Aerial Solid,Winter Rye,1311
5,Till,15-Apr,28:10:10,1120,1-Feb,0,Aerial Solid,Winter Rye,1312
0,Till,1-Apr,Dairy Manure,1120,1-Feb,0,Aerial Solid,Winter Rye,1313
1,Till,1-Apr,Dairy Manure,1120,1-Feb,0,Aerial Solid,Winter Rye,1314
3,Till,1-Apr,Dairy Manure,1120,1-Feb,0,Aerial Solid,Winter Rye,1315
5,Till,1-Apr,Dairy Manure,1120,1-Feb,0,Aerial Solid,Winter Rye,1316
0,Till,15-Apr,Dairy Manure,1120,1-Feb,0,Aerial Solid,Winter Rye,1317
1,Till,15-Apr,Dairy Manure,1120,1-Feb,0,Aerial Solid,Winter Rye,1318
3,Till,15-Apr,Dairy Manure,1120,1-Feb,0,Aerial Solid,Winter Rye,1319
5,Till,15-Apr,Dairy Manure,1120,1-Feb,0,Aerial Solid,Winter Rye,1320
0,Till,1-Apr,26:13:00,0,1-May,0,Aerial Solid,Winter Rye,1321
1,Till,1-Apr,26:13:00,0,1-May,0,Aerial Solid,Winter Rye,1322
3,Till,1-Apr,26:13:00,0,1-May,0,Aerial Solid,Winter Rye,1323
5,Till,1-Apr,26:13:00,0,1-May,0,Aerial Solid,Winter Rye,1324
0,Till,15-Apr,26:13:00,0,1-May,0,Aerial Solid,Winter Rye,1325
1,Till,15-Apr,26:13:00,0,1-May,0,Aerial Solid,Winter Rye,1326
3,Till,15-Apr,26:13:00,0,1-May,0,Aerial Solid,Winter Rye,1327
5,Till,15-Apr,26:13:00,0,1-May,0,Aerial Solid,Winter Rye,1328
0,Till,1-Apr,28:10:10,0,1-May,0,Aerial Solid,Winter Rye,1329
1,Till,1-Apr,28:10:10,0,1-May,0,Aerial Solid,Winter Rye,1330
3,Till,1-Apr,28:10:10,0,1-May,0,Aerial Solid,Winter Rye,1331
5,Till,1-Apr,28:10:10,0,1-May,0,Aerial Solid,Winter Rye,1332
0,Till,15-Apr,28:10:10,0,1-May,0,Aerial Solid,Winter Rye,1333
1,Till,15-Apr,28:10:10,0,1-May,0,Aerial Solid,Winter Rye,1334
3,Till,15-Apr,28:10:10,0,1-May,0,Aerial Solid,Winter Rye,1335
5,Till,15-Apr,28:10:10,0,1-May,0,Aerial Solid,Winter Rye,1336
0,Till,1-Apr,Dairy Manure,0,1-May,0,Aerial Solid,Winter Rye,1337
1,Till,1-Apr,Dairy Manure,0,1-May,0,Aerial Solid,Winter Rye,1338
3,Till,1-Apr,Dairy Manure,0,1-May,0,Aerial Solid,Winter Rye,1339
5,Till,1-Apr,Dairy Manure,0,1-May,0,Aerial Solid,Winter Rye,1340
0,Till,15-Apr,Dairy Manure,0,1-May,0,Aerial Solid,Winter Rye,1341
1,Till,15-Apr,Dairy Manure,0,1-May,0,Aerial Solid,Winter Rye,1342
3,Till,15-Apr,Dairy Manure,0,1-May,0,Aerial Solid,Winter Rye,1343
5,Till,15-Apr,Dairy Manure,0,1-May,0,Aerial Solid,Winter Rye,1344
0,Till,1-Apr,26:13:00,140,1-May,0,Aerial Solid,Winter Rye,1345
1,Till,1-Apr,26:13:00,140,1-May,0,Aerial Solid,Winter Rye,1346
3,Till,1-Apr,26:13:00,140,1-May,0,Aerial Solid,Winter Rye,1347
5,Till,1-Apr,26:13:00,140,1-May,0,Aerial Solid,Winter Rye,1348
0,Till,15-Apr,26:13:00,140,1-May,0,Aerial Solid,Winter Rye,1349
1,Till,15-Apr,26:13:00,140,1-May,0,Aerial Solid,Winter Rye,1350
3,Till,15-Apr,26:13:00,140,1-May,0,Aerial Solid,Winter Rye,1351
5,Till,15-Apr,26:13:00,140,1-May,0,Aerial Solid,Winter Rye,1352
0,Till,1-Apr,28:10:10,140,1-May,0,Aerial Solid,Winter Rye,1353
1,Till,1-Apr,28:10:10,140,1-May,0,Aerial Solid,Winter Rye,1354
3,Till,1-Apr,28:10:10,140,1-May,0,Aerial Solid,Winter Rye,1355
5,Till,1-Apr,28:10:10,140,1-May,0,Aerial Solid,Winter Rye,1356
0,Till,15-Apr,28:10:10,140,1-May,0,Aerial Solid,Winter Rye,1357
1,Till,15-Apr,28:10:10,140,1-May,0,Aerial Solid,Winter Rye,1358
3,Till,15-Apr,28:10:10,140,1-May,0,Aerial Solid,Winter Rye,1359
5,Till,15-Apr,28:10:10,140,1-May,0,Aerial Solid,Winter Rye,1360
0,Till,1-Apr,Dairy Manure,140,1-May,0,Aerial Solid,Winter Rye,1361
1,Till,1-Apr,Dairy Manure,140,1-May,0,Aerial Solid,Winter Rye,1362
3,Till,1-Apr,Dairy Manure,140,1-May,0,Aerial Solid,Winter Rye,1363
5,Till,1-Apr,Dairy Manure,140,1-May,0,Aerial Solid,Winter Rye,1364
0,Till,15-Apr,Dairy Manure,140,1-May,0,Aerial Solid,Winter Rye,1365
1,Till,15-Apr,Dairy Manure,140,1-May,0,Aerial Solid,Winter Rye,1366
3,Till,15-Apr,Dairy Manure,140,1-May,0,Aerial Solid,Winter Rye,1367
5,Till,15-Apr,Dairy Manure,140,1-May,0,Aerial Solid,Winter Rye,1368
0,Till,1-Apr,26:13:00,280,1-May,0,Aerial Solid,Winter Rye,1369
1,Till,1-Apr,26:13:00,280,1-May,0,Aerial Solid,Winter Rye,1370
3,Till,1-Apr,26:13:00,280,1-May,0,Aerial Solid,Winter Rye,1371
5,Till,1-Apr,26:13:00,280,1-May,0,Aerial Solid,Winter Rye,1372
0,Till,15-Apr,26:13:00,280,1-May,0,Aerial Solid,Winter Rye,1373
1,Till,15-Apr,26:13:00,280,1-May,0,Aerial Solid,Winter Rye,1374
3,Till,15-Apr,26:13:00,280,1-May,0,Aerial Solid,Winter Rye,1375
5,Till,15-Apr,26:13:00,280,1-May,0,Aerial Solid,Winter Rye,1376
0,Till,1-Apr,28:10:10,280,1-May,0,Aerial Solid,Winter Rye,1377
1,Till,1-Apr,28:10:10,280,1-May,0,Aerial Solid,Winter Rye,1378
3,Till,1-Apr,28:10:10,280,1-May,0,Aerial Solid,Winter Rye,1379
5,Till,1-Apr,28:10:10,280,1-May,0,Aerial Solid,Winter Rye,1380
0,Till,15-Apr,28:10:10,280,1-May,0,Aerial Solid,Winter Rye,1381
1,Till,15-Apr,28:10:10,280,1-May,0,Aerial Solid,Winter Rye,1382
3,Till,15-Apr,28:10:10,280,1-May,0,Aerial Solid,Winter Rye,1383
5,Till,15-Apr,28:10:10,280,1-May,0,Aerial Solid,Winter Rye,1384
0,Till,1-Apr,Dairy Manure,280,1-May,0,Aerial Solid,Winter Rye,1385
1,Till,1-Apr,Dairy Manure,280,1-May,0,Aerial Solid,Winter Rye,1386
3,Till,1-Apr,Dairy Manure,280,1-May,0,Aerial Solid,Winter Rye,1387
5,Till,1-Apr,Dairy Manure,280,1-May,0,Aerial Solid,Winter Rye,1388
0,Till,15-Apr,Dairy Manure,280,1-May,0,Aerial Solid,Winter Rye,1389
1,Till,15-Apr,Dairy Manure,280,1-May,0,Aerial Solid,Winter Rye,1390
3,Till,15-Apr,Dairy Manure,280,1-May,0,Aerial Solid,Winter Rye,1391
5,Till,15-Apr,Dairy Manure,280,1-May,0,Aerial Solid,Winter Rye,1392
0,Till,1-Apr,26:13:00,560,1-May,0,Aerial Solid,Winter Rye,1393
1,Till,1-Apr,26:13:00,560,1-May,0,Aerial Solid,Winter Rye,1394
3,Till,1-Apr,26:13:00,560,1-May,0,Aerial Solid,Winter Rye,1395
5,Till,1-Apr,26:13:00,560,1-May,0,Aerial Solid,Winter Rye,1396
0,Till,15-Apr,26:13:00,560,1-May,0,Aerial Solid,Winter Rye,1397
1,Till,15-Apr,26:13:00,560,1-May,0,Aerial Solid,Winter Rye,1398
3,Till,15-Apr,26:13:00,560,1-May,0,Aerial Solid,Winter Rye,1399
5,Till,15-Apr,26:13:00,560,1-May,0,Aerial Solid,Winter Rye,1400
0,Till,1-Apr,28:10:10,560,1-May,0,Aerial Solid,Winter Rye,1401
1,Till,1-Apr,28:10:10,560,1-May,0,Aerial Solid,Winter Rye,1402
3,Till,1-Apr,28:10:10,560,1-May,0,Aerial Solid,Winter Rye,1403
5,Till,1-Apr,28:10:10,560,1-May,0,Aerial Solid,Winter Rye,1404
0,Till,15-Apr,28:10:10,560,1-May,0,Aerial Solid,Winter Rye,1405
1,Till,15-Apr,28:10:10,560,1-May,0,Aerial Solid,Winter Rye,1406
3,Till,15-Apr,28:10:10,560,1-May,0,Aerial Solid,Winter Rye,1407
5,Till,15-Apr,28:10:10,560,1-May,0,Aerial Solid,Winter Rye,1408
0,Till,1-Apr,Dairy Manure,560,1-May,0,Aerial Solid,Winter Rye,1409
1,Till,1-Apr,Dairy Manure,560,1-May,0,Aerial Solid,Winter Rye,1410
3,Till,1-Apr,Dairy Manure,560,1-May,0,Aerial Solid,Winter Rye,1411
5,Till,1-Apr,Dairy Manure,560,1-May,0,Aerial Solid,Winter Rye,1412
0,Till,15-Apr,Dairy Manure,560,1-May,0,Aerial Solid,Winter Rye,1413
1,Till,15-Apr,Dairy Manure,560,1-May,0,Aerial Solid,Winter Rye,1414
3,Till,15-Apr,Dairy Manure,560,1-May,0,Aerial Solid,Winter Rye,1415
5,Till,15-Apr,Dairy Manure,560,1-May,0,Aerial Solid,Winter Rye,1416
0,Till,1-Apr,26:13:00,1120,1-May,0,Aerial Solid,Winter Rye,1417
1,Till,1-Apr,26:13:00,1120,1-May,0,Aerial Solid,Winter Rye,1418
3,Till,1-Apr,26:13:00,1120,1-May,0,Aerial Solid,Winter Rye,1419
5,Till,1-Apr,26:13:00,1120,1-May,0,Aerial Solid,Winter Rye,1420
0,Till,15-Apr,26:13:00,1120,1-May,0,Aerial Solid,Winter Rye,1421
1,Till,15-Apr,26:13:00,1120,1-May,0,Aerial Solid,Winter Rye,1422
3,Till,15-Apr,26:13:00,1120,1-May,0,Aerial Solid,Winter Rye,1423
5,Till,15-Apr,26:13:00,1120,1-May,0,Aerial Solid,Winter Rye,1424
0,Till,1-Apr,28:10:10,1120,1-May,0,Aerial Solid,Winter Rye,1425
1,Till,1-Apr,28:10:10,1120,1-May,0,Aerial Solid,Winter Rye,1426
3,Till,1-Apr,28:10:10,1120,1-May,0,Aerial Solid,Winter Rye,1427
5,Till,1-Apr,28:10:10,1120,1-May,0,Aerial Solid,Winter Rye,1428
0,Till,15-Apr,28:10:10,1120,1-May,0,Aerial Solid,Winter Rye,1429
1,Till,15-Apr,28:10:10,1120,1-May,0,Aerial Solid,Winter Rye,1430
3,Till,15-Apr,28:10:10,1120,1-May,0,Aerial Solid,Winter Rye,1431
5,Till,15-Apr,28:10:10,1120,1-May,0,Aerial Solid,Winter Rye,1432
0,Till,1-Apr,Dairy Manure,1120,1-May,0,Aerial Solid,Winter Rye,1433
1,Till,1-Apr,Dairy Manure,1120,1-May,0,Aerial Solid,Winter Rye,1434
3,Till,1-Apr,Dairy Manure,1120,1-May,0,Aerial Solid,Winter Rye,1435
5,Till,1-Apr,Dairy Manure,1120,1-May,0,Aerial Solid,Winter Rye,1436
0,Till,15-Apr,Dairy Manure,1120,1-May,0,Aerial Solid,Winter Rye,1437
1,Till,15-Apr,Dairy Manure,1120,1-May,0,Aerial Solid,Winter Rye,1438
3,Till,15-Apr,Dairy Manure,1120,1-May,0,Aerial Solid,Winter Rye,1439
5,Till,15-Apr,Dairy Manure,1120,1-May,0,Aerial Solid,Winter Rye,1440
0,Till,1-Apr,26:13:00,0,1-Feb,140,Aerial Solid,Winter Rye,1441
1,Till,1-Apr,26:13:00,0,1-Feb,140,Aerial Solid,Winter Rye,1442
3,Till,1-Apr,26:13:00,0,1-Feb,140,Aerial Solid,Winter Rye,1443
5,Till,1-Apr,26:13:00,0,1-Feb,140,Aerial Solid,Winter Rye,1444
0,Till,15-Apr,26:13:00,0,1-Feb,140,Aerial Solid,Winter Rye,1445
1,Till,15-Apr,26:13:00,0,1-Feb,140,Aerial Solid,Winter Rye,1446
3,Till,15-Apr,26:13:00,0,1-Feb,140,Aerial Solid,Winter Rye,1447
5,Till,15-Apr,26:13:00,0,1-Feb,140,Aerial Solid,Winter Rye,1448
0,Till,1-Apr,28:10:10,0,1-Feb,140,Aerial Solid,Winter Rye,1449
1,Till,1-Apr,28:10:10,0,1-Feb,140,Aerial Solid,Winter Rye,1450
3,Till,1-Apr,28:10:10,0,1-Feb,140,Aerial Solid,Winter Rye,1451
5,Till,1-Apr,28:10:10,0,1-Feb,140,Aerial Solid,Winter Rye,1452
0,Till,15-Apr,28:10:10,0,1-Feb,140,Aerial Solid,Winter Rye,1453
1,Till,15-Apr,28:10:10,0,1-Feb,140,Aerial Solid,Winter Rye,1454
3,Till,15-Apr,28:10:10,0,1-Feb,140,Aerial Solid,Winter Rye,1455
5,Till,15-Apr,28:10:10,0,1-Feb,140,Aerial Solid,Winter Rye,1456
0,Till,1-Apr,Dairy Manure,0,1-Feb,140,Aerial Solid,Winter Rye,1457
1,Till,1-Apr,Dairy Manure,0,1-Feb,140,Aerial Solid,Winter Rye,1458
3,Till,1-Apr,Dairy Manure,0,1-Feb,140,Aerial Solid,Winter Rye,1459
5,Till,1-Apr,Dairy Manure,0,1-Feb,140,Aerial Solid,Winter Rye,1460
0,Till,15-Apr,Dairy Manure,0,1-Feb,140,Aerial Solid,Winter Rye,1461
1,Till,15-Apr,Dairy Manure,0,1-Feb,140,Aerial Solid,Winter Rye,1462
3,Till,15-Apr,Dairy Manure,0,1-Feb,140,Aerial Solid,Winter Rye,1463
5,Till,15-Apr,Dairy Manure,0,1-Feb,140,Aerial Solid,Winter Rye,1464
0,Till,1-Apr,26:13:00,140,1-Feb,140,Aerial Solid,Winter Rye,1465
1,Till,1-Apr,26:13:00,140,1-Feb,140,Aerial Solid,Winter Rye,1466
3,Till,1-Apr,26:13:00,140,1-Feb,140,Aerial Solid,Winter Rye,1467
5,Till,1-Apr,26:13:00,140,1-Feb,140,Aerial Solid,Winter Rye,1468
0,Till,15-Apr,26:13:00,140,1-Feb,140,Aerial Solid,Winter Rye,1469
1,Till,15-Apr,26:13:00,140,1-Feb,140,Aerial Solid,Winter Rye,1470
3,Till,15-Apr,26:13:00,140,1-Feb,140,Aerial Solid,Winter Rye,1471
5,Till,15-Apr,26:13:00,140,1-Feb,140,Aerial Solid,Winter Rye,1472
0,Till,1-Apr,28:10:10,140,1-Feb,140,Aerial Solid,Winter Rye,1473
1,Till,1-Apr,28:10:10,140,1-Feb,140,Aerial Solid,Winter Rye,1474
3,Till,1-Apr,28:10:10,140,1-Feb,140,Aerial Solid,Winter Rye,1475
5,Till,1-Apr,28:10:10,140,1-Feb,140,Aerial Solid,Winter Rye,1476
0,Till,15-Apr,28:10:10,140,1-Feb,140,Aerial Solid,Winter Rye,1477
1,Till,15-Apr,28:10:10,140,1-Feb,140,Aerial Solid,Winter Rye,1478
3,Till,15-Apr,28:10:10,140,1-Feb,140,Aerial Solid,Winter Rye,1479
5,Till,15-Apr,28:10:10,140,1-Feb,140,Aerial Solid,Winter Rye,1480
0,Till,1-Apr,Dairy Manure,140,1-Feb,140,Aerial Solid,Winter Rye,1481
1,Till,1-Apr,Dairy Manure,140,1-Feb,140,Aerial Solid,Winter Rye,1482
3,Till,1-Apr,Dairy Manure,140,1-Feb,140,Aerial Solid,Winter Rye,1483
5,Till,1-Apr,Dairy Manure,140,1-Feb,140,Aerial Solid,Winter Rye,1484
0,Till,15-Apr,Dairy Manure,140,1-Feb,140,Aerial Solid,Winter Rye,1485
1,Till,15-Apr,Dairy Manure,140,1-Feb,140,Aerial Solid,Winter Rye,1486
3,Till,15-Apr,Dairy Manure,140,1-Feb,140,Aerial Solid,Winter Rye,1487
5,Till,15-Apr,Dairy Manure,140,1-Feb,140,Aerial Solid,Winter Rye,1488
0,Till,1-Apr,26:13:00,280,1-Feb,140,Aerial Solid,Winter Rye,1489
1,Till,1-Apr,26:13:00,280,1-Feb,140,Aerial Solid,Winter Rye,1490
3,Till,1-Apr,26:13:00,280,1-Feb,140,Aerial Solid,Winter Rye,1491
5,Till,1-Apr,26:13:00,280,1-Feb,140,Aerial Solid,Winter Rye,1492
0,Till,15-Apr,26:13:00,280,1-Feb,140,Aerial Solid,Winter Rye,1493
1,Till,15-Apr,26:13:00,280,1-Feb,140,Aerial Solid,Winter Rye,1494
3,Till,15-Apr,26:13:00,280,1-Feb,140,Aerial Solid,Winter Rye,1495
5,Till,15-Apr,26:13:00,280,1-Feb,140,Aerial Solid,Winter Rye,1496
0,Till,1-Apr,28:10:10,280,1-Feb,140,Aerial Solid,Winter Rye,1497
1,Till,1-Apr,28:10:10,280,1-Feb,140,Aerial Solid,Winter Rye,1498
3,Till,1-Apr,28:10:10,280,1-Feb,140,Aerial Solid,Winter Rye,1499
5,Till,1-Apr,28:10:10,280,1-Feb,140,Aerial Solid,Winter Rye,1500
0,Till,15-Apr,28:10:10,280,1-Feb,140,Aerial Solid,Winter Rye,1501
1,Till,15-Apr,28:10:10,280,1-Feb,140,Aerial Solid,Winter Rye,1502
3,Till,15-Apr,28:10:10,280,1-Feb,140,Aerial Solid,Winter Rye,1503
5,Till,15-Apr,28:10:10,280,1-Feb,140,Aerial Solid,Winter Rye,1504
0,Till,1-Apr,Dairy Manure,280,1-Feb,140,Aerial Solid,Winter Rye,1505
1,Till,1-Apr,Dairy Manure,280,1-Feb,140,Aerial Solid,Winter Rye,1506
3,Till,1-Apr,Dairy Manure,280,1-Feb,140,Aerial Solid,Winter Rye,1507
5,Till,1-Apr,Dairy Manure,280,1-Feb,140,Aerial Solid,Winter Rye,1508
0,Till,15-Apr,Dairy Manure,280,1-Feb,140,Aerial Solid,Winter Rye,1509
1,Till,15-Apr,Dairy Manure,280,1-Feb,140,Aerial Solid,Winter Rye,1510
3,Till,15-Apr,Dairy Manure,280,1-Feb,140,Aerial Solid,Winter Rye,1511
5,Till,15-Apr,Dairy Manure,280,1-Feb,140,Aerial Solid,Winter Rye,1512
0,Till,1-Apr,26:13:00,560,1-Feb,140,Aerial Solid,Winter Rye,1513
1,Till,1-Apr,26:13:00,560,1-Feb,140,Aerial Solid,Winter Rye,1514
3,Till,1-Apr,26:13:00,560,1-Feb,140,Aerial Solid,Winter Rye,1515
5,Till,1-Apr,26:13:00,560,1-Feb,140,Aerial Solid,Winter Rye,1516
0,Till,15-Apr,26:13:00,560,1-Feb,140,Aerial Solid,Winter Rye,1517
1,Till,15-Apr,26:13:00,560,1-Feb,140,Aerial Solid,Winter Rye,1518
3,Till,15-Apr,26:13:00,560,1-Feb,140,Aerial Solid,Winter Rye,1519
5,Till,15-Apr,26:13:00,560,1-Feb,140,Aerial Solid,Winter Rye,1520
0,Till,1-Apr,28:10:10,560,1-Feb,140,Aerial Solid,Winter Rye,1521
1,Till,1-Apr,28:10:10,560,1-Feb,140,Aerial Solid,Winter Rye,1522
3,Till,1-Apr,28:10:10,560,1-Feb,140,Aerial Solid,Winter Rye,1523
5,Till,1-Apr,28:10:10,560,1-Feb,140,Aerial Solid,Winter Rye,1524
0,Till,15-Apr,28:10:10,560,1-Feb,140,Aerial Solid,Winter Rye,1525
1,Till,15-Apr,28:10:10,560,1-Feb,140,Aerial Solid,Winter Rye,1526
3,Till,15-Apr,28:10:10,560,1-Feb,140,Aerial Solid,Winter Rye,1527
5,Till,15-Apr,28:10:10,560,1-Feb,140,Aerial Solid,Winter Rye,1528
0,Till,1-Apr,Dairy Manure,560,1-Feb,140,Aerial Solid,Winter Rye,1529
1,Till,1-Apr,Dairy Manure,560,1-Feb,140,Aerial Solid,Winter Rye,1530
3,Till,1-Apr,Dairy Manure,560,1-Feb,140,Aerial Solid,Winter Rye,1531
5,Till,1-Apr,Dairy Manure,560,1-Feb,140,Aerial Solid,Winter Rye,1532
0,Till,15-Apr,Dairy Manure,560,1-Feb,140,Aerial Solid,Winter Rye,1533
1,Till,15-Apr,Dairy Manure,560,1-Feb,140,Aerial Solid,Winter Rye,1534
3,Till,15-Apr,Dairy Manure,560,1-Feb,140,Aerial Solid,Winter Rye,1535
5,Till,15-Apr,Dairy Manure,560,1-Feb,140,Aerial Solid,Winter Rye,1536
0,Till,1-Apr,26:13:00,1120,1-Feb,140,Aerial Solid,Winter Rye,1537
1,Till,1-Apr,26:13:00,1120,1-Feb,140,Aerial Solid,Winter Rye,1538
3,Till,1-Apr,26:13:00,1120,1-Feb,140,Aerial Solid,Winter Rye,1539
5,Till,1-Apr,26:13:00,1120,1-Feb,140,Aerial Solid,Winter Rye,1540
0,Till,15-Apr,26:13:00,1120,1-Feb,140,Aerial Solid,Winter Rye,1541
1,Till,15-Apr,26:13:00,1120,1-Feb,140,Aerial Solid,Winter Rye,1542
3,Till,15-Apr,26:13:00,1120,1-Feb,140,Aerial Solid,Winter Rye,1543
5,Till,15-Apr,26:13:00,1120,1-Feb,140,Aerial Solid,Winter Rye,1544
0,Till,1-Apr,28:10:10,1120,1-Feb,140,Aerial Solid,Winter Rye,1545
1,Till,1-Apr,28:10:10,1120,1-Feb,140,Aerial Solid,Winter Rye,1546
3,Till,1-Apr,28:10:10,1120,1-Feb,140,Aerial Solid,Winter Rye,1547
5,Till,1-Apr,28:10:10,1120,1-Feb,140,Aerial Solid,Winter Rye,1548
0,Till,15-Apr,28:10:10,1120,1-Feb,140,Aerial Solid,Winter Rye,1549
1,Till,15-Apr,28:10:10,1120,1-Feb,140,Aerial Solid,Winter Rye,1550
3,Till,15-Apr,28:10:10,1120,1-Feb,140,Aerial Solid,Winter Rye,1551
5,Till,15-Apr,28:10:10,1120,1-Feb,140,Aerial Solid,Winter Rye,1552
0,Till,1-Apr,Dairy Manure,1120,1-Feb,140,Aerial Solid,Winter Rye,1553
1,Till,1-Apr,Dairy Manure,1120,1-Feb,140,Aerial Solid,Winter Rye,1554
